E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
0.00565409	-0.0328784	0.00790574	1.09256	-0.162002	0.277245	-1.49009e-09	479.437	
0.0056544	-0.0300836	-0.00239151	1.0927	-0.0318091	0.10047	-1.49009e-09	479.602	
0.00564117	-0.076945	0.00927588	1.08908	0.460902	0.297453	-1.49009e-09	477.012	
0.00562987	-0.0236907	0.0135398	1.0904	-0.719461	-0.703983	-1.49009e-09	474.496	
0.00565732	0.0311459	0.0191591	1.09279	2.13395	-0.994021	-1.49009e-09	479.56	
0.00562659	-0.0477983	-0.002036	1.08937	1.70059	0.15432	-1.49009e-09	476.13	
0.00565547	-0.018144	-0.00787038	1.09304	-1.61894	-0.746724	-1.49009e-09	479.148	
0.00564707	0.0163937	0.00661599	1.09226	-0.0226557	0.216214	-1.49009e-09	477.016	
0.0056396	-0.00268751	-0.00353824	1.09168	0.474964	0.915057	-1.49009e-09	475.409	
0.00565652	-0.0570342	-0.0103579	1.09178	2.53306	0.770045	-1.49009e-09	480.64	
0.00565105	-0.00578866	-0.00137817	1.09278	0.212601	0.473496	-1.49009e-09	478.285	
0.0056558	-0.0183983	-0.00936602	1.09306	1.87837	-2.72693	-1.49009e-09	479.413	
0.00565154	-0.0492527	0.0125168	1.09166	1.06562	-1.11507	-1.49009e-09	480.706	
0.00564231	-0.0272442	0.0110961	1.09155	-0.188766	-0.323034	-1.49009e-09	476.698	
0.00565146	-0.0157837	0.00346186	1.09271	-0.0888494	0.00830949	-1.49009e-09	478.688	
0.00562669	-0.0307958	0.00372301	1.08999	-1.05046	-0.313709	-1.49009e-09	474.51	
0.00565702	0.059235	-0.000883301	1.09176	-2.36885	-0.116815	-1.49009e-09	481.172	
0.00564136	-0.00674181	0.0102137	1.09179	0.0267229	0.50755	-1.49009e-09	475.676	
0.00564973	0.00356985	0.0070549	1.09264	0.626296	-0.151613	-1.49009e-09	477.577	
0.00562702	0.0248021	-0.000997334	1.09018	0.306172	0.281665	-1.49009e-09	474.848	
0.00565621	0.0123197	-0.00534693	1.09321	-0.0235514	0.380409	-1.49009e-09	478.616	
0.0056362	-0.0350332	-0.00156281	1.09079	-0.417319	-0.14941	-1.49009e-09	476.262	
0.00566427	-0.0615387	0.0280883	1.09198	2.10056	-1.69851	-1.49009e-09	480.968	
0.00564454	0.00830634	0.0223691	1.0919	-0.449779	0.841498	-1.49009e-09	477.524	
0.00565098	0.00969419	-0.0187119	1.09258	-0.370549	-0.243792	-1.49009e-09	478.331	
0.00564376	0.00320204	0.00317951	1.09208	0.337925	-0.0118663	-1.49009e-09	476.456	
0.00563215	-0.0190655	0.0017604	1.09079	-0.258094	-1.20223	-1.49009e-09	474.494	
0.00564508	0.058418	9.35765e-05	1.09065	-2.56891	0.352987	-1.49009e-09	478.217	
