E(keV)	Px(MeV/c)	Py(MeV/c)	Pz(MeV/c)	X(mm)	Y(mm)	Z(mm)	T(ns)
44.4277	-11.9942	-38.9521	18.9237	-5.3991	-14.6253	-1.49009e-09	475.775	
30.8179	-13.8065	-14.4586	-24.1157	-1.63042	-6.21108	0.2	479.837	
29.9784	-10.3347	-13.8371	-25.1212	-1.59338	-1.30192	0.2	475.688	
31.2602	3.67761	-5.39461	31.0889	0.593964	-4.67671	-1.49009e-09	465.577	
32.4789	28.3928	16.6073	2.47357	11.3966	4.54996	-1.49009e-09	475.351	
35.1415	-6.58471	3.57876	-34.8522	-10.3002	5.76528	0.2	478.29	
37.4977	23.0182	-17.2599	24.8326	14.5566	-11.3522	-1.49009e-09	470.708	
51.1725	32.7568	13.8513	36.7935	-0.992051	-0.429848	0.134785	475.825	
37.0228	1.42611	-0.701448	37.4967	18.6277	-4.56681	-1.49009e-09	420.658	
47.402	0.808754	6.96013	47.3951	-0.0699261	11.631	-1.49009e-09	453.739	
50.5618	0.328825	5.8346	-50.7348	-2.72319	1.63008	0.2	474.548	
50.7598	31.229	-26.2809	31.0242	7.76264	-6.32992	-1.49009e-09	471.76	
35.1486	-17.3058	-18.7568	-24.9006	-7.61536	-9.20215	0.2	475.183	
36.185	10.6713	0.364917	-35.1045	1.22233	-0.131547	0.2	477.63	
43.8333	3.13191	-0.351714	44.2292	0.127919	-0.0344291	-1.49009e-09	476.366	
26.362	21.9849	2.56395	15.2311	2.74894	0.497676	-1.49009e-09	478.27	
45.9898	7.92643	9.6474	-44.7902	5.46013	7.56086	0.2	479.68	
40.4181	-10.7296	-28.96	26.8538	-3.40042	-8.53103	-1.49009e-09	475.393	
22.1572	2.96068	0.870978	22.4513	1.4149	1.64171	-1.49009e-09	469.967	
47.6423	-16.9827	9.46694	44.0504	-2.91104	1.67034	-1.49009e-09	476.73	
10.2142	-0.420998	-5.03669	9.44584	-0.274765	-16.5202	-1.49009e-09	469.274	
1.06932	0.483671	-0.234399	1.39549	-12.3062	14.1496	-1.49009e-09	5073.8	
19.2317	5.20427	12.1144	14.6857	3.61663	8.97353	-1.49009e-09	471.323	
46.5763	-3.86287	-33.3904	32.9714	-1.66589	-5.6633	-1.49009e-09	474.953	
38.4187	-8.84547	4.98581	-37.5787	-17.183	9.60177	0.2	479.952	
43.4896	1.43765	-8.48622	-43.1475	2.29574	-9.08295	0.2	474.124	
30.6708	-8.86937	-6.19826	-29.2397	-9.13188	-4.64394	0.2	478.557	
41.4112	-2.63321	7.46613	-41.1647	-2.62975	9.06734	0.2	477.17	
43.4109	1.38469	23.5729	-37.0308	1.46124	0.936165	0.2	476.774	
21.8833	-1.44646	2.99093	-22.1406	-5.96883	16.7805	0.2	477.472	
38.7395	-35.1659	11.9909	-12.6458	0.36868	0.144964	0.2	475.8	
26.9184	6.38815	18.9323	18.7848	1.7485	7.84823	-1.49009e-09	470.72	
36.5095	-7.94634	12.6123	33.8828	-5.44894	8.84532	-1.49009e-09	469.936	
34.3457	-20.2459	11.6918	-25.8483	-6.84938	6.12974	0.2	476.644	
9.63804	2.34933	0.96206	-9.8131	15.4593	6.30434	0.2	475.641	
32.0344	-4.79796	-15.1489	-28.3978	-1.0766	-3.38317	0.2	476.534	
32.9517	-27.8896	13.0764	-13.0641	-10.5629	5.321	0.2	475.713	
46.4199	-0.830585	-0.0124917	46.9208	-2.29092	-10.1212	-1.49009e-09	296.993	
35.3664	22.7215	-24.0476	13.87	3.18194	-1.62877	-1.49009e-09	478.093	
37.3374	4.00222	-26.5803	26.6405	2.13517	-14.7762	-1.49009e-09	473.641	
46.52	4.90847	37.8574	27.4659	2.63091	6.71205	-1.49009e-09	471.992	
46.5731	-30.7508	3.47208	-35.4821	-1.14809	2.40623	0.2	478.152	
12.7939	8.22478	3.09086	-9.97798	17.7668	9.13824	0.2	474.129	
33.6034	-0.372932	-0.929823	-34.0959	-4.89958	-3.07063	0.2	476.812	
40	-22.504	-11.971	31.4825	-5.66531	-1.74074	-1.49009e-09	471.855	
28.8918	4.92968	-28.9421	1.52186	0.946501	-4.79619	-1.49009e-09	478.527	
30.4243	-4.7216	7.65781	29.5939	-6.89145	10.0005	-1.49009e-09	460.12	
51.505	-38.1261	28.7414	20.6334	-14.1212	12.0389	-1.49009e-09	474.954	
36.2035	-7.61078	-19.4599	30.1841	-7.10958	-18.6291	-1.49009e-09	469.743	
52.1072	-33.1597	-32.7822	24.3757	-9.09041	-7.17927	-1.49009e-09	476.064	
30.3817	-26.0386	0.325195	16.6127	-16.4866	-1.73283	-1.49009e-09	474.662	
43.687	-10.2995	-3.59717	-42.8273	0.147093	1.29439	0.2	476.885	
36.2239	1.11884	-31.0469	-19.5966	-0.438209	-13.6177	0.2	481.373	
32.3857	-13.4416	-12.3347	-27.3699	-11.9338	-8.41455	0.2	477.692	
34.2365	5.95576	-14.5364	-30.9895	5.37048	-14.5369	0.2	481.082	
